Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
key;start-date;end-date;start-year;start-month;start-day;end-year;end-month;end-day
;;;;;;;;
;;;;;;;;
;;;;;;;;
I Gusti Ketut Jelantik;;;;;;;;
;;;;;;;;
Pattimura;08-June-1783;16-December-1817;1783;6;8;1817;12;16
;;;;;;;;
Hein ter Poorten;21-November-1887;15-Jan-68;1887;11;21;1968;1;15
;;;;;;;;
Conrad Helfrich;11-October-1886;;1886;10;11;;;
;;;;;;;;
Hisaichi Terauchi;08-August-1879;12-Jun-46;1879;8;8;1946;6;12
;;;;;;;;
Hitoshi Imamura;28-June-1886;04-Oct-68;1886;6;28;1968;10;4
;;;;;;;;
Shoji Nishimura;30-November-1889;24-Oct-44;1889;11;30;1944;10;24
;;;;;;;;
Johan Harmen Rudolf Köhler;3-July-1818;14-April-1873;1818;7;3;1873;4;14
;;;;;;;;
Karel Doorman;23-April-1889;28-Feb-42;1889;4;23;1942;2;28
;;;;;;;;
Jan van Swieten;;;;;;;;
;;;;;;;;
Jisaburo Ozawa;02-October-1886;09-Nov-66;1886;10;2;1966;11;9
;;;;;;;;
Kiyotake Kawaguchi;03-December-1892;16-May-61;1892;12;3;1961;5;16
;;;;;;;;
Takeo Takagi;25-January-1892;16261;1892;1;25;1944;7;8
;;;;;;;;
Tirtayasa dari Banten;1-January-1631;1-January-1692;1631;;;1692;;
;;;;;;;;
Sultan Hasanuddin;12-January-1631;12-June-1670;1631;1;12;1670;6;12
;;;;;;;;
Iskandar Muda dari Aceh;1-January-1593;27-Desember-1636;1593;;;1636;12;27
;;;;;;;;
Pakubuwana VI;26-April-1807;2-June-1849;1807;4;26;1849;6;2
;;;;;;;;
Untung Suropati;1-January-1660;;1660;;;;;
;;;;;;;;
Baabullah;10-February-1528;1-July-1583;1528;2;10;1583;7;
;;;;;;;;
Sultan Agung dari Mataram;1-January-1593;1-January-1645;1593;;;1645;;
;;;;;;;;
Pakubuwana X;29-November-1866;22-Feb-39;1866;11;29;1939;2;22
;;;;;;;;
Andi Mappanyukki;;;;;;;;
;;;;;;;;
Hamengkubuwana I;4-August-1717;24-March-1792;1717;8;4;1792;3;24
;;;;;;;;
I Gusti Ngurah Made Agung;5-April-1876;20-Sep-06;1876;4;5;1906;9;20
;;;;;;;;
Bataha Santiago;1-january-1622;;1622;;;;;
;;;;;;;;
Himayatuddin Muhammad Saidi;;1-january-1766;;;;1766;;
;;;;;;;;
Kubilai Khan;23-September-1215;;1215;9;23;;;
;;;;;;;;
Diponegoro;11-November-1785;8-January-1855;1785;11;11;1855;1;8
;;;;;;;;
