article_title,parents
Agung Firman Sampurna,Kahar Muzakir
Syarief Thayeb,Teuku Chik Mohammad Thayeb
Siti Hartinah,"K. P. H Soemoharjomo"
Siti Hartinah,K. R. Ay. Hatmanti Hatmohoedojo
Andi Sinjaya Ghalib,"Andi Muhammad Ghalib"
Andi Sinjaya Ghalib,Andi Murniati
Hario Jonosewojo,Kanjeng Pangeran Adipati Soejono Handajaningrat
Soemitro Djojohadikoesoemo,"Margono Djojohadikoesoemo"
Soemitro Djojohadikoesoemo,Siti Katoemi Wirodihardjo
Rano Karno,Soekarno M. Noor
Irman Gusman,"Gusman Gaus"
Irman Gusman,Janimar Kamili
Ryamizard Ryacudu,"Mayjen TNI (Purn.) Musannif Ryacudu"
Ryamizard Ryacudu,R.A. Zuharyah
Sofjan Wanandi,"Liem Gim To"
Sofjan Wanandi,Tjoa Gim Jong Nio
Sayuti Melik,"Partiprawiro"
Sayuti Melik,Sumilah
Airlangga Hartarto,Hartarto Sastrosoenarto
Siti Hardijanti Rukmana,"Soeharto"
Siti Hardijanti Rukmana,Siti Hartinah
Aburizal Bakrie,"H. Achmad Bakrie"
Aburizal Bakrie,Hj. Roosniah Nasution
Husein Mutahar,Salim Mutahar
Paku Alam VIII,Paku Alam VII
Adrianus Mooy,"Joseph Mooy"
Adrianus Mooy,Elizabeth Octavianus
Ratu Emma Norma,"Tubagus Ilyas Angkawidjaja"
Ratu Emma Norma,Ubaid Djuabedah
I Gusti Ketut Pudja,"I Gusti Nyoman Raka"
I Gusti Ketut Pudja,Jero Ratna Kusuma
Dodi Reza Alex Noerdin,"Alex Noerdin"
Dodi Reza Alex Noerdin,Sri Eliza
Djatikoesoemo,Pakubuwana X
Jusuf Wanandi,"Liem Gim To"
Jusuf Wanandi,Tjoa Gim Jong Nio
Maraden Panggabean,"Marhusa Panggabean"
Maraden Panggabean,Katharina br. Panjaitan
Iskandar Sitompul,"Humala Sitompul"
Iskandar Sitompul,Surtani br. Panggabean
Indroyono Soesilo,Soesilo Soedarman
Amien Rais,Sudalmijah Suhud Rais
Hartanto Edhie Wibowo,"Sarwo Edhie Wibowo"
Hartanto Edhie Wibowo,Sunarti Sri Hadiyah
Sophan Sophiaan,Manai Sophiaan
Burhanuddin Abdullah,"Haji Abdullah"
Burhanuddin Abdullah,Siti Kholilah
Ginandjar Kartasasmita,Husein KartasasmitaRatjih Natawidjaja
Indriyanto Seno Adji,Oemar Seno Adji
Mahfud MD,"Mahmodin"
Mahfud MD,Siti Khadijah
Hadi Thayeb,Teuku Chik Mohammad Thayeb
T.B. Simatupang,"Simon Simatupang"
T.B. Simatupang,Mina br. Sibuea
Melanchton Siregar,"Julianus Siregar"
Melanchton Siregar,Abina br. Siburian
Mochamad Jasin,Mochamad Iyas
Oesman Sapta Odang,"Odang"
Oesman Sapta Odang,Asnah Hamid
